id,text_snippet,labels,extracted_entities
1,Budget is tight. not sure.,Pricing Discussion,"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
2,How do you address performance for enterprise clients?,Technical Inquiry,"{""technical_concerns"": [""performance""]}"
3,Our CFO is interested in understanding cost savings.,Decision Maker Interaction,"{""decision_makers"": [""CFO""], ""ORG"": [""CFO""]}"
4,We're experiencing manual reporting and need a robust solution.,Positive,"{""pain_points"": [""manual reporting""]}"
5,How do you address data security for enterprise clients?,Technical Inquiry,"{""technical_concerns"": [""data security""]}"
6,Budget is tight. need approval.,Pricing Discussion,"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
7,How do you address data security for enterprise clients?,Technical Inquiry,"{""technical_concerns"": [""data security""]}"
8,Currently current contract expiring. Can you walk me through your offering?,Positive,{}
9,How do you address integration for enterprise clients?,Technical Inquiry,"{""technical_concerns"": [""integration""]}"
10,We're looking at solutions in the finance sector. manual reporting is our main challenge.,Industry Specific,"{""pain_points"": [""manual reporting""], ""industries"": [""finance""]}"
11,We're looking at solutions in the education sector. inefficient process is our main challenge.,Industry Specific,"{""pain_points"": [""inefficient process""], ""industries"": [""education""]}"
12,I'm seeing quotes from Tupac Solutions. What makes your solution different?,Competition,"{""competitors"": [""Tupac Solutions""], ""ORG"": [""Tupac Solutions""]}"
13,We're looking at solutions in the healthcare sector. inefficient process is our main challenge.,Industry Specific,"{""pain_points"": [""inefficient process""], ""industries"": [""healthcare""]}"
14,Our CEO is interested in understanding increased efficiency.,Decision Maker Interaction,"{""decision_makers"": [""CEO""]}"
15,Currently looking for alternatives. Can you walk me through your offering?,Positive,{}
16,How do you address scalability for enterprise clients?,Technical Inquiry,"{""technical_concerns"": [""scalability""]}"
17,I'm seeing quotes from KDot Technologies. What makes your solution different?,Competition,"{""competitors"": [""KDot Technologies""], ""ORG"": [""KDot Technologies""]}"
18,Our CTO is interested in understanding increased efficiency.,Decision Maker Interaction,"{""decision_makers"": [""CTO""], ""ORG"": [""CTO""]}"
19,Budget is tight. need approval.,Pricing Discussion,"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
20,How do you address data security for enterprise clients?,Technical Inquiry,"{""technical_concerns"": [""data security""]}"
21,Budget is tight. not sure.,Pricing Discussion,"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
22,I'm seeing quotes from JCole Corporation. What makes your solution different?,Competition,"{""competitors"": [""JCole Corporation""], ""ORG"": [""JCole Corporation""]}"
23,We're looking at solutions in the education sector. lack of insights is our main challenge.,Industry Specific,"{""pain_points"": [""lack of insights""], ""industries"": [""education""]}"
24,Our IT Director is interested in understanding streamlined operations.,Decision Maker Interaction,"{""decision_makers"": [""IT Director""]}"
25,We're looking at solutions in the healthcare sector. lack of insights is our main challenge.,Industry Specific,"{""pain_points"": [""lack of insights""], ""industries"": [""healthcare""]}"
26,I'm seeing quotes from Nas and Co. What makes your solution different?,Competition,"{""competitors"": [""Nas and Co""], ""GPE"": [""Nas""]}"
27,We're looking at solutions in the retail sector. inefficient process is our main challenge.,Industry Specific,"{""pain_points"": [""inefficient process""], ""industries"": [""retail""]}"
28,I'm seeing quotes from KDot Technologies. What makes your solution different?,Competition,"{""competitors"": [""KDot Technologies""], ""ORG"": [""KDot Technologies""]}"
29,Our Head of Data is interested in understanding competitive advantage.,Decision Maker Interaction,"{""decision_makers"": [""Head of Data""]}"
30,I'm seeing quotes from MosDef Analytics. What makes your solution different?,Competition,"{""competitors"": [""MosDef Analytics""], ""features"": [""Analytics""], ""ORG"": [""MosDef Analytics""]}"
31,Currently evaluating solutions. Can you walk me through your offering?,Positive,{}
32,We're experiencing integration challenges and need a robust solution.,Technical Inquiry,"{""pain_points"": [""integration challenges""], ""technical_concerns"": [""integration""]}"
33,Our Chief Data Officer is interested in understanding increased efficiency.,Decision Maker Interaction,"{""decision_makers"": [""Chief Data Officer""]}"
34,We're experiencing scalability issues and need a robust solution.,Technical Inquiry,"{""pain_points"": [""scalability issues""], ""technical_concerns"": [""scalability""]}"
35,What predictive modeling can help us improve our current processes?,Positive,"{""features"": [""predictive modeling""]}"
36,What data pipeline can help us improve our current processes?,Positive,"{""features"": [""data pipeline""]}"
37,What analytics can help us improve our current processes?,Positive,"{""features"": [""analytics""]}"
38,What Natural language processing can help us improve our current processes?,Positive,"{""features"": [""Natural language processing""]}"
39,What Regression and classification can help us improve our current processes?,Positive,"{""features"": [""Regression and classification""]}"
40,We're looking at solutions in the telecommunications sector. integration challenges is our main challenge.,"Industry Specific, Technical Inquiry","{""pain_points"": [""integration challenges""], ""industries"": [""telecommunications""], ""technical_concerns"": [""integration""]}"
41,Budget is tight. need approval.,Pricing Discussion,"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
42,Budget is tight. need approval.,Pricing Discussion,"{""pricing_keywords"": [""Budget""], ""ORG"": [""Budget""]}"
43,I'm seeing quotes from Nas and Co. What makes your solution different?,Competition,"{""competitors"": [""Nas and Co""], ""GPE"": [""Nas""]}"
44,How do you address scalability for enterprise clients?,Technical Inquiry,"{""technical_concerns"": [""scalability""]}"
45,What AI can help us improve our current processes?,Positive,"{""features"": [""AI""], ""ORG"": [""AI""]}"
46,What Big data can help us improve our current processes?,Positive,"{""features"": [""Big data""]}"
47,Currently looking for alternatives. Can you walk me through your offering?,Positive,{}
